site,average,lat,long,range,,site_no,dec_lat_va,dec_long_va
1021000,-0.341090353,45.1369444,-67.3180556,4,,1010000,46.70055556,-69.7155556
1018500,-2.764097622,45.5683333,-67.4283333,4,,1010070,46.89388889,-69.7516667
1021470,-5.902660242,44.8008333,-67.725,4,,1010500,47.11305556,-69.0880556
1021480,0.348292696,44.9369444,-67.7361111,4,,1011000,47.0697222,-69.0794444
1019000,-0.378886952,45.1725,-67.76888889,4,,1011500,47.20697926,-68.9564281
1018035,-0.13753593,46.1811111,-67.80388889,4,,1013500,47.2375,-68.58277778
1018000,-0.014463495,46.105,-67.8666667,4,,1014000,47.2833333,-68.58527778
1017960,-0.103871568,46.105,-67.88138889,4,,1015800,46.52305556,-68.3716667
1022500,0.043287441,44.60805556,-67.93527778,4,,1017000,46.7772222,-68.1572222
1017550,-0.638203247,46.62805556,-67.9530556,4,,1017060,46.7836111,-67.9891667
1022294,-0.108527132,44.85909167,-68.10396389,4,,1017290,46.8886111,-67.945
1017000,0.100712574,46.7772222,-68.1572222,4,,1017550,46.62805556,-67.9530556
1022840,-0.258356546,44.33277778,-68.2066667,4,,1017960,46.105,-67.88138889
1030500,0.339596171,45.5011111,-68.3058333,4,,1018000,46.105,-67.8666667
1015800,0.323125945,46.52305556,-68.3716667,4,,1018009,46.11527778,-67.84027778
1013500,0.348004636,47.2375,-68.58277778,4,,1018035,46.1811111,-67.80388889
1014000,-0.307600947,47.2833333,-68.58527778,4,,1018500,45.5683333,-67.4283333
1029500,-0.021472191,45.73027778,-68.5894444,4,,1019000,45.1725,-67.76888889
1029200,0.243654862,46.14305556,-68.6336111,4,,1021000,45.1369444,-67.3180556
1034500,-2.053756747,45.2361111,-68.65138889,4,,1021470,44.8008333,-67.725
1034000,0.157719787,45.26055556,-68.8686111,4,,1021480,44.9369444,-67.7361111
1037380,0.15310327,44.32916667,-69.0608333,4,,1022294,44.85909167,-68.10396389
1011000,0.38244565,47.0697222,-69.0794444,4,,1022500,44.60805556,-67.93527778
1010500,0.16086417,47.11305556,-69.0880556,4,,1022840,44.33277778,-68.2066667
1031500,0.171468325,45.175,-69.3147222,4,,1027200,45.93527778,-69.9936111
1031450,0.289597051,45.1844444,-69.4522222,4,,1029200,46.14305556,-68.6336111
1031300,0.145773485,45.2672222,-69.58388889,4,,1029500,45.73027778,-68.5894444
1038000,0.364981285,44.22277778,-69.59388889,4,,1030350,45.7086111,-68.1580556
1010070,-0.097992942,46.89388889,-69.7516667,4,,1030500,45.5011111,-68.3058333
1049500,0.254986364,44.22916667,-69.7780556,4,,1031300,45.2672222,-69.58388889
1046500,-1.229318205,45.0519444,-69.8855556,4,,1031450,45.1844444,-69.4522222
1048000,0.220338085,44.70805556,-69.9375,4,,1031500,45.175,-69.3147222
1047000,0.180686749,44.86916667,-69.955,4,,1031510,45.15027778,-69.23638889
1042500,-1.687286259,45.3397222,-69.9619444,4,,1034000,45.26055556,-68.8686111
1027200,0.48474462,45.93527778,-69.9936111,4,,1034500,45.2361111,-68.65138889
1059000,0.051742822,44.0722222,-70.2080556,4,,1037000,44.8611111,-68.8316667
1055500,0.30897638,44.26944444,-70.2297222,4,,1037380,44.32916667,-69.0608333
1044550,0.146020469,45.3136111,-70.2416667,4,,1038000,44.22277778,-69.59388889
11058837,-78.11779532,41.59233175,-70.50780579,4,,1042500,45.3397222,-69.9619444
1057000,0.364508389,44.30388889,-70.5397222,4,,1043500,45.22905,-70.20112778
1054500,-0.097565147,44.5519444,-70.5441667,4,,1044550,45.3136111,-70.2416667
1055000,0.275882126,44.64277778,-70.58888889,4,,1046000,45.0644444,-69.8805556
1105876,-11.34539243,41.94177039,-70.6225338,4,,1046500,45.0519444,-69.8855556
1063310,-83.53558957,43.85555556,-70.6397222,4,,1047000,44.86916667,-69.955
1054300,0.288949407,44.5933333,-70.7330556,4,,1047150,44.77888889,-69.8869444
1105870,-18.4321834,41.9909362,-70.7336491,4,,1047200,44.85777778,-70.48527778
1105730,-8.327874137,42.1006571,-70.8225415,4,,1048000,44.70805556,-69.9375
1105917,-3.557132402,41.66260446,-70.8383696,4,,1048220,44.9475,-69.6569444
1073785,0.316146897,43.0358333,-70.8475,4,,1049500,44.22916667,-69.7780556
1105638,-14.54998102,42.2348226,-70.8719892,4,,1052500,44.8775,-71.0575
1102000,-8.017848523,42.6598157,-70.8936622,4,,1053500,44.7825,-71.1286111
1105600,-12.33419747,42.1903779,-70.9447679,4,,1053600,44.6661111,-71.18138889
1101000,-0.283075263,42.75286948,-70.9456096,4,,1054000,44.4358333,-71.19027778
1073500,0.286302521,43.10258558,-70.952559,4,,1054114,44.38131944,-71.1706556
1108000,-5.330302404,41.9339903,-70.9564307,4,,1054200,44.39055556,-70.9797222
1073000,0.347450685,43.1486955,-70.9650603,4,,1054300,44.5933333,-70.7330556
1072800,-3.952914645,43.26841527,-70.9736739,4,,1054500,44.5519444,-70.5441667
1105583,-141.8363711,42.22093308,-70.9781026,4,,1055000,44.64277778,-70.58888889
1054200,0.107529312,44.39055556,-70.9797222,4,,1055500,44.26944444,-70.2297222
1105933,-7.457680085,41.58538185,-70.9903171,4,,1057000,44.30388889,-70.5397222
1102345,-51.09402861,42.4695404,-71.0069954,4,,1059000,44.0722222,-70.2080556
1101500,-21.1931327,42.56953869,-71.0269974,4,,1063310,43.85555556,-70.6397222
1073587,-2.497229728,42.9845316,-71.038392,4,,1064118,43.68694444,-70.3472222
1052500,0.19015458,44.8775,-71.0575,4,,10642505,44.08388889,-71.2855556
11055566,-7.129709093,42.2709321,-71.06838369,4,,1064500,43.9908333,-71.0905556
1108410,-22.11579271,41.8998232,-71.0894897,4,,1064801,43.83007396,-71.2878488
1064500,0.270385257,43.9908333,-71.0905556,4,,1066000,43.80805556,-70.7816667
1109060,-27.3581374,41.8662122,-71.12282369,4,,1067950,43.4322222,-70.5533333
1053500,-1.003609622,44.7825,-71.1286111,4,,1068910,43.4183333,-70.7380556
1103025,-14.57939319,42.40704077,-71.1339422,4,,1069500,43.4183333,-70.6583333
1109070,-0.098155656,41.840379,-71.142824,4,,1069700,43.37916667,-70.5833333
1105500,-6.863741211,42.15454356,-71.1458842,4,,1072800,43.26841527,-70.9736739
1105554,-8.342984001,42.2092655,-71.1458851,4,,1072870,43.23480487,-70.9564507
1100627,-8.776183106,42.6714806,-71.1492239,4,,1073000,43.1486955,-70.9650603
1104000,-1.209557038,42.2550985,-71.1642196,4,,1073319,43.04138889,-71.2016667
10735562,-76.86568321,42.94897557,-71.16478279,4,,1073500,43.10258558,-70.952559
1109000,-51.67182231,41.94760015,-71.1767155,4,,10735562,42.94897557,-71.16478279
1054000,-0.677634512,44.4358333,-71.19027778,4,,1073587,42.9845316,-71.038392
1105000,-9.729922157,42.1775987,-71.2008863,4,,1073785,43.0358333,-70.8475
1100561,-0.32954166,42.7431456,-71.208393,4,,1074520,44.0475669,-71.6598029
