,site,average,lat_x,long_x,range,lat_y,long_y,Altitude
1,12306500.0,-1.326783549,48.99916667,-116.1797222,4.0,48.99916667,-116.1797222,2620.06
2,12321500.0,0.697075611,48.9972222,-116.5691667,2.0,48.9972222,-116.5691667,1776.0
3,5124000.0,-1.805688171,48.9964079,-100.9584889,4.0,48.9964079,-100.9584889,1403.63
4,5106000.0,-0.377233354,48.99248859,-95.6621992,4.0,48.99248859,-95.6621992,1038.4
5,5114000.0,-9.293981408,48.9900156,-101.9582209,4.0,48.9900156,-101.9582209,1604.99
6,5100000.0,-4.714504663,48.9897138,-97.5570221,4.0,48.9897138,-97.5570221,810.99
7,12442500.0,0.940823449,48.98460109,-119.6184098,1.0,48.98460109,-119.6184098,1137.7
8,12404500.0,-0.201799809,48.9843487,-118.2163989,4.0,48.9843487,-118.2163989,1425.5
9,5112000.0,-0.986949621,48.98164829,-96.4630804,4.0,48.98164829,-96.4630804,1002.31
10,12401500.0,-0.203701662,48.98128428,-118.7664259,4.0,48.98128428,-118.7664259,1836.8
11,5113600.0,-0.970446812,48.9811417,-103.0765734,4.0,48.9811417,-103.0765734,1841.4
12,6169500.0,-4.120111339,48.969375,-106.8398417,4.0,48.969375,-106.8398417,2530.0
13,12212050.0,-0.316366305,48.9387257,-122.4790532,4.0,48.9387257,-122.4790532,54.0
14,12439500.0,-4.566646663,48.9307184,-119.4203419,4.0,48.9307184,-119.4203419,900.0
15,5107500.0,-1.62137625,48.9102603,-95.9219402,4.0,48.9102603,-95.9219402,1018.61
16,12205000.0,0.598647382,48.90595739,-121.8443104,3.0,48.90595739,-121.8443104,1245.0
17,12301300.0,-3.864026449,48.89359167,-115.0878528,4.0,48.89359167,-115.0878528,2518.85
18,12397100.0,-1455.502699,48.84492215,-117.2877419,4.0,48.84492215,-117.2877419,2540.2
19,12213100.0,-0.311780721,48.84483249,-122.5893389,4.0,48.84483249,-122.5893389,4.61
20,5017500.0,-2.195159368,48.83303718,-113.4206533,4.0,48.83303718,-113.4206533,4468.13
21,12210900.0,0.615102446,48.8326141,-122.3390502,3.0,48.8326141,-122.3390502,200.0
22,12447390.0,0.076245299,48.8229245,-120.1459245,4.0,48.8229245,-120.1459245,4300.0
23,5014500.0,0.598269101,48.7988333,-113.6567306,3.0,48.7988333,-113.6567306,4876.78
24,5104500.0,-1.270801494,48.79470197,-95.7424885,4.0,48.79470197,-95.7424885,1031.18
26,12208000.0,0.59710937,48.7792828,-122.1065434,3.0,48.7792828,-122.1065434,580.0
27,5094000.0,-0.214808463,48.7324786,-96.6675444,4.0,48.7324786,-96.6675444,929.82
28,6183450.0,-3.252660778,48.6728972,-104.5120861,4.0,48.6728972,-104.5120861,2000.0
29,12175500.0,0.5266559,48.6726287,-121.0728964,3.0,48.6726287,-121.0728964,1220.0
30,12178000.0,-10.17717098,48.67179229,-121.2462348,4.0,48.67179229,-121.2462348,401.5
31,12209490.0,0.37504493,48.6715016,-122.1396,4.0,48.6715016,-122.1396,410.0
32,12178100.0,0.370951048,48.66012536,-121.2476233,4.0,48.66012536,-121.2476233,1000.0
33,5133500.0,-0.312723763,48.6344009,-93.913228,4.0,48.6344009,-93.913228,1062.48
34,6099000.0,-39.08158115,48.63340278,-112.3464806,4.0,48.63340278,-112.3464806,3561.42
35,12445000.0,0.607105005,48.632375,-119.4617229,3.0,48.632375,-119.4617229,860.78
