site_no, average, median, standard_deviation
4.80608E+14,-790.1031889,-427.1852588,756.4692981
4.12453E+14,-0.450505158,-0.143245734,0.81266791
4.12141E+14,-0.172572267,0.037284403,0.647491981
4.11228E+14,-32.85023071,-32.85023071,30.73041768
4.10401E+14,-2.195029308,-1.909235877,1.763310918
4.10014E+14,-10.17573451,-8.618248935,7.574678464
4.02913E+14,0.056447538,0.150426108,0.328509126
4.02114E+14,-2.1710054,-0.904946665,5.288704619
3.94839E+14,-1.549870515,-0.353621623,2.812619123
3.9422E+14,-0.553865856,-0.486826461,0.646218323
3.93109E+14,-152.8975436,-40.57803089,523.2300967
3.85106E+14,-4.573279139,-3.548204756,3.626523591
3.84037E+14,-50.56210323,-13.96336014,98.19028413
3.83926E+14,-3.784770096,-3.83028978,0.368427639
3.3342E+14,-8.875359362,-1.311323088,19.42944284
3.30304E+14,-1.569573335,-1.569573335,1.245615621
2.72524E+14,-92.00094173,-25.90421236,173.9077147
2.55654E+14,-34.80471454,-17.61245219,45.13747028
2.54157E+14,-4.740064479,-2.986191774,5.58714559
818999010,-33.5686789,-23.64848182,44.30739701
817887350,-38.48123867,-22.06249281,45.73983345
810464660,-39.4208554,-22.83501131,45.51210136
804956950,-53.01796261,-25.79214628,81.78230826
546494170,-37.23868977,-16.03698486,46.2861264
505152130,-113.8464734,-56.57765426,152.4628848
423406130,-1086.562588,-168.3151453,2623.01753
423401815,-34.58281869,-15.5354296,38.50288993
423205010,-25.56589477,-13.51681076,34.48551305
422026250,-36.28779209,-15.91915274,45.72680227
422016550,-29.96588791,-14.87042437,43.06263844
414826545,-37.62141494,-16.71168749,46.5924544
357591500,-36.55027958,-15.97619787,46.0064632
357587728,-35.30774721,-14.89018084,45.38691876
357587400,-33.63769536,-13.72188952,44.61156321
357587140,-36.72620719,-15.96011762,46.15505781
357587090,-36.38749656,-15.76563544,45.96922858
357586650,-35.38383596,-15.08374541,45.3410039
357568980,-34.54827902,-14.34399219,44.8762937
357568650,-36.81462857,-16.11489737,46.09997041
357526200,-35.49116959,-14.78126127,45.52135412
351706800,-60.14669335,-16.486499,106.409869
345577330,-27.15496277,-17.53463358,39.78853173
344894205,-32.49487257,-13.65991894,44.52965216
343233905,-50.61915341,-23.58399339,82.90642301
242354750,-33.43637025,-12.96921728,44.91657152
214685800,-32.25815515,-11.99021846,44.59306586
214678175,-34.05638682,-12.88508573,45.09310708
214657975,-36.56808651,-15.37255069,46.19051519
214655255,-35.90087404,-14.74667934,45.91040055
214645075,-31.11385302,-11.84797943,43.87524924
214642825,-36.02598746,-14.72473462,45.91871401
214627970,-33.0309563,-12.53943115,44.68644227
214297160,-37.46962943,-16.46860123,46.53593371
214295600,-34.94718347,-13.49435629,45.59136247
214291555,-31.29931701,-12.12035662,44.09054125
214269560,-34.54029754,-13.9754384,45.9479297
214266080,-37.60116618,-16.6475858,46.61665832
214266000,-31.93186105,-12.40304978,44.26708492
214265808,-35.81319344,-14.47942739,45.86575718
212467595,-36.70020998,-15.35008884,46.38562832
212466000,-37.13354458,-15.80095648,46.54445686
212433550,-32.60500599,-14.43013581,47.13273527
212430653,-36.97967166,-15.7332427,46.40911189
212430293,-36.28687539,-15.18544313,46.13849552
212427947,-37.27799051,-16.24093647,46.46626403
212419274,-37.35000736,-15.92781021,46.7419195
212414900,-28.26482845,-12.52148628,42.43219041
212393300,-37.15846282,-15.93421529,46.57771296
212378405,-6984.444192,-2252.28865,14840.52215
211139110,-37.59860102,-16.60174776,46.5955446
210166029,-36.67402444,-15.93189928,46.31078438
209782609,-31.74137723,-12.18562129,43.57864171
209741955,-28.03562562,-11.03229853,41.95580213
209734440,-34.52698872,-14.24835433,45.5858085
209722970,-34.49863483,-13.89523809,45.13351295
209553650,-24.79898174,-16.19909325,38.03420074
209399200,-31.95269358,-12.21514954,43.49834292
208925200,-30.5921707,-13.36077961,41.95032609
208773375,-25.27409116,-14.06795439,38.87883013
208758850,-29.82886972,-13.00146544,42.43617808
208735012,-36.97021345,-16.15658258,46.26282605
208732885,-34.37552405,-13.99073374,45.05062286
208732534,-36.22234991,-15.54984556,45.89874237
208726005,-21.88397264,-12.62573705,34.04400271
208675010,-35.7683539,-15.13582404,45.82440269
208524975,-36.9654411,-19.10837768,47.5150436
208524090,-36.79861364,-16.21382035,46.38039834
208521324,-36.16623574,-20.8153991,46.36345549
208250410,-356.5316389,-23.62322863,794.9179905
208111310,-73.59983709,-35.51127836,100.3807231
158397967,-36.16155291,-15.92781321,45.73319498
158175320,-37.30415323,-16.51188441,46.39665102
148471320,-36.29371312,-16.17338698,46.14696442
142400103,-29.82741636,-13.16070758,40.49764426
137462010,-27.30784531,-15.54215223,41.33369352
137449480,-39.29619273,-19.50736511,49.29688446
136230002,-31.41466859,-20.2833238,40.62210515
103530001,-1.516101799,-1.768698454,0.6318009
103366092,-7.32247059,-1.44167129,14.56142872
102432241,-438.8424831,-152.2140812,987.8503942
94985005,-37.64219047,-16.72192405,46.5965133
94196784,-25.11119125,-12.85988774,40.71120331
94196783,-26.48110805,-13.32314174,41.42420131
94196781,-32.07380112,-14.76778673,44.00843418
72632982,-37.28305716,-16.03546305,46.6199948
72632971,-37.41705175,-16.1048679,46.62145903
72632966,-50.1359453,-41.12870946,45.77159184
72632962,-36.78467286,-15.93073097,46.42993457
71912213,-48.9250926,-31.89486714,69.77785028
55451345,-36.07868253,-15.15747248,45.90252703
53813595,-1851.287582,-431.6177527,4366.9761
53674967,-33.39564318,-12.93070394,42.9864969
53416966,-32.91280499,-13.40465579,42.91222038
41482663,-37.3330332,-16.65307953,46.51740978
40975299,-36.2303484,-15.91009444,45.87517832
40871488,-31.56124702,-12.56500548,43.69425436
40871475,-35.21923419,-14.84517832,45.38212409
40871473,-37.1913798,-16.36763712,46.36776652
40869416,-27.30981346,-10.28494098,41.72922858
40857005,-37.07999888,-16.05614987,46.46220244
40854592,-36.97781418,-15.80714999,46.40860321
40851385,-6818.440648,-3054.497837,11194.53138
40734605,-35.65810574,-15.7456474,45.00675814
40263491,-28.94602191,-12.57624685,36.44169316
40263205,-30.1091698,-13.58279584,41.01407913
33521504,-33.61382002,-15.26741484,45.21459872
33356848,-43.07417533,-22.5557243,60.67542001
33356786,-37.44871178,-24.85855436,45.7541156
23432415,-15000.02922,-9165.250273,23245.0342
23358685,-34.42164195,-14.22292663,45.09296803
23312495,-23.72903585,-12.6460118,33.66348219
23177483,-38.50433198,-18.50912268,50.2069865
22908295,-37.28011137,-16.72249066,46.71882648
22907085,-26.24816821,-15.3110862,37.79529837
21973269,-12824.53061,-8400.74891,20664.60172
21964832,-9340.43824,-5785.903232,15652.58566
21652801,-34.73047388,-13.89775491,46.03205836
21650905,-34.45698612,-9.772299851,58.14137357
21623975,-24.2965048,-9.737787883,40.35088883
21564493,-2795.537624,-1221.266818,4846.65785
21556525,-78.74835635,-30.61374519,115.244408
21473428,-34.15279959,-12.62019134,45.43998012
21473426,-37.07289459,-15.43561516,46.50286126
21473415,-37.15657024,-15.82171737,46.56357315
21459367,-35.96635833,-14.61668374,46.04173142
21457492,-30.22268459,-12.05776105,44.92998977
15765185,-36.91718719,-16.25866184,46.21003326
14400000,0.050805923,0.438044546,1.147842484
14377100,0.377854264,0.435598374,0.371391377
14375100,-8.982832679,-5.430537499,10.96425623
14372300,-2.614894315,-1.224722377,3.378915549
14369500,-8.600550911,-2.398233138,10.68177048
14366000,-7.731310312,-5.161911341,9.88386563
14362250,-1.547638525,-0.810804579,1.942071421
14362000,-9.726131566,-5.610809654,10.59906451
14361500,-7.394078279,-3.894697749,8.762482058
14359000,-6.713170631,-4.192372441,6.618556595
14357500,-7.552548523,-6.241567652,6.68129135
14354200,-26.2787266,-21.36510986,24.93828092
14353500,-7.52026179,-4.043438696,10.97792706
14353000,-9.166264626,-4.130604137,14.23653306
14339000,-6.91872015,-5.978964016,5.260861111
14338000,-10.54853461,-3.377057023,13.88180515
14337600,-8.041171847,-7.871842571,3.781372163
14337500,-20.11835803,-16.46987205,19.77599662
14335072,-5.752947135,-4.836268314,3.65051522
14332000,-142.6409747,-20.69940597,339.5054121
14330000,-33.35026159,-8.664972371,60.5270354
14328000,-439.2234193,-3.153174727,1156.478352
14325000,-0.154555254,0.121915381,1.496344829
14321000,-1.461458594,-0.92005002,1.968519041
14320934,0.169365748,0.101276133,0.275368389
14319500,-0.413821599,-0.167777369,1.212394093
14318000,-1.541452443,-0.010217538,3.494168891
14316700,-0.241023935,0.484913817,2.317731412
14316500,-19.35705918,-5.662354195,28.75569183
14316495,-0.586334077,-0.036678535,1.972632296
14316455,-7399.832652,-75.87012019,19557.50794
14315950,-1.886272057,-0.467595434,3.980712273
14315700,-3744.434779,-77.40924309,10528.59793
14315500,-714.7461771,-265.6657979,829.2334056
14314700,-1024.674361,-135.0658675,1704.969305
14314500,-614.0221571,-35.66349698,961.8767288
14313700,-105.1297403,-17.40021395,303.4344562
14313200,-40.69540666,-0.80476849,144.1954064
14312000,-0.772952216,0.003958316,1.816341812
14310000,-0.537641469,-0.384320089,0.911828527
14309500,-1.416664319,-0.037571926,3.390970809
14309000,-11.03883913,-5.878894758,14.73993027
14308990,-2.151478473,-0.206996771,4.626069324
14308500,-2.140381663,-0.000355399,5.29851283
14308000,-2.329812689,-0.118876459,4.381608789
14307620,0.497665992,0.545061154,0.296145761
14306500,0.143535317,0.511117638,1.588316014
14306340,-3.491090697,0.401794285,16.03037239
14305500,0.426212999,0.488921883,0.453446505
14303600,0.608880458,0.582484136,0.117791032
14303200,-0.351723587,0.322362056,2.256012787
14302480,0.322532209,0.609947125,0.792787679
14301500,0.573660955,0.737755535,0.362456949
14301000,0.161526222,0.204720917,0.630668859
14299800,-2.402317692,-0.280345268,4.104793258
14243000,-1.147649798,-0.281953165,4.009380742
14242580,-0.209318847,0.15279661,0.973686816
14240525,-4.843793988,-0.009225035,15.87887538
14238000,-1.91974286,-0.882564342,2.922183
14236200,0.678066169,0.767222783,0.267079159
14233500,-0.284806434,-0.033166452,0.711254486
14231900,-0.295651272,0.176881675,1.404538309
14231000,0.37664419,0.373246482,0.390787365
14226500,0.248725766,0.291158714,0.338726825
14222500,-0.048366727,0.452622966,1.555375219
14220500,-0.589499426,-0.353274053,1.522914865
14219800,-0.187042236,-0.105015723,0.284731956
14219000,0.57111504,0.652859238,0.448364976
14216500,0.482816179,0.676944891,0.516971415
14216000,0.633768827,0.656491199,0.254648297
14211814,-4.730866428,-2.171127425,7.839047694
14211550,-5.524307648,-3.017989757,7.445559875
14211500,-0.253175326,0.402799251,1.792606408
14211499,0.476532766,0.526754,0.272389152
14211400,-2.823728201,0.447137981,10.59805285
14211315,-0.487699302,-0.368511173,0.731196994
14211010,-0.339814063,0.083903975,1.242634974
14210000,-0.364876217,0.296138329,1.835601403
14209500,-0.367151614,0.378332085,2.205331719
14209250,-587.4620114,-85.34355817,867.4010254
14209000,-11.7711501,-8.401189625,13.31723578
14208700,-5.678978794,-3.990029223,4.947486793
14207500,-0.35111393,-0.05183375,1.18186185
14206950,-0.333649854,-0.122092753,0.744922204
14206900,-1.024292801,-0.693825951,1.431435704
14205400,-8.944534744,-8.15071278,6.33532441
14203500,-0.685074019,0.313148966,1.858011256
14202000,0.468680913,0.687033446,0.609361338
14201500,0.795162662,0.823974275,0.078755298
