site_no, average, median, standard_deviation
4.81E+14,-87.27489625,-42.54410646,97.82028272
4.12E+14,0.297160538,0.321652282,0.099883718
4.12E+14,-0.091092137,0.047706818,0.52509951
4.11E+14,-27.71265226,-27.71265226,24.43668477
4.10E+14,-0.452433179,-0.280907532,0.470835773
4.10E+14,-18.83733892,-17.59075033,10.11922979
4.03E+14,-114.9641218,-78.77688425,137.6779308
4.03E+14,0.16145706,0.170475293,0.281920772
4.02E+14,0.259560162,0.441572834,0.872872318
3.95E+14,-0.163274858,-0.075806121,0.741654921
3.94E+14,0.71973149,0.831851095,0.323868858
3.93E+14,-11.04296436,-1.290874724,36.58180703
3.85E+14,0.164002225,0.175871148,0.410455272
3.84E+14,-15.81551835,-7.658402885,25.84547395
3.84E+14,-2.096447747,-2.069624434,0.264631432
3.83E+14,-0.231659725,-0.231659725,0.007061251
3.33E+14,-0.407738128,-0.400639772,0.348176166
3.30E+14,-136.3453843,-136.3453843,192.9057178
2.73E+14,-12.77341144,-5.460757035,18.32621161
2.56E+14,-20.44856449,-12.40342319,23.72410503
2.54E+14,-3.520516926,-1.849294773,4.809791738
818999010,-17.44553154,-10.72188636,20.96904743
817887350,-19.24558092,-11.00426079,21.72997869
810464660,-19.32693797,-10.89505097,21.50019815
804956950,-14.32352973,-8.500664376,17.16530892
546494170,-20.00059948,-12.40315449,23.2377689
505152130,-88.17778214,-13.33619573,138.5273912
423406130,-247.0247892,-76.85250864,363.1973443
423401815,-12.59473239,-7.071003875,13.67390313
423205010,-10.29548851,-5.974291311,10.80037796
422026250,-19.87296033,-12.02662483,22.9319352
422016550,-8.609397875,-5.401801595,8.319886524
414826545,-20.61630514,-12.52501639,23.94598017
357591500,-20.2079994,-12.26047292,23.53945494
357587728,-19.54949025,-11.86500398,22.84104185
357587400,-18.69328405,-11.3589533,21.95852621
357587140,-20.18935845,-12.25633297,23.52036395
357587090,-20.07657097,-12.18299365,23.4007901
357586650,-19.60839308,-11.9384106,22.93340864
357568980,-19.04477025,-11.60125947,22.34825982
357568650,-20.25127951,-12.31018137,23.59559522
357526200,-19.29503797,-11.71933765,22.5244944
351706800,-11.93607566,-5.278885642,19.54937866
345577330,-14.00939911,-8.77870466,15.33663608
344894205,-17.52863764,-10.68839959,19.81254262
343233905,-20.35279163,-10.12458249,20.06410125
242354750,-17.75929704,-10.74406455,20.82914735
214685800,-18.21994866,-11.13587242,20.9667341
214678175,-19.2011788,-11.66960356,22.20872131
214657975,-20.08456446,-12.15974756,23.30435772
214655255,-19.88004069,-12.04597177,23.04193345
214645075,-17.75165214,-10.7377724,20.3921607
214642825,-19.96702857,-12.11181484,23.14967271
214627970,-18.78529647,-11.42246691,21.71538446
214297160,-20.4458573,-12.38797765,23.72737453
214295600,-19.37618685,-11.76790813,22.36366324
214291555,-17.2119657,-10.52879041,19.34099588
214269560,-18.40872495,-11.08905642,21.07614642
214266080,-20.47441364,-12.41567277,23.75860759
