site_no, average, median, standard_deviation
4.80608E+14,-41.67070968,-44.41304303,28.68649944
4.12453E+14,-0.222841893,-0.202580043,0.535231491
4.12141E+14,-1.110976439,-1.018739546,1.154489599
4.10401E+14,-0.323227511,-0.220754028,0.294919346
4.10014E+14,-13.4399442,-8.092670135,18.87341179
4.03258E+14,-11.97828444,-2.158584984,34.98853406
4.02913E+14,-0.162566799,0.107139202,0.685041548
4.02114E+14,-1.771480752,0.186153247,4.19164661
3.94839E+14,-2.883655841,-1.317894589,3.749426841
3.9422E+14,0.777207046,0.763756643,0.107032182
3.93109E+14,-15.13806427,-1.458845464,28.21408041
3.85106E+14,0.069473107,0.059545252,0.356579936
3.83926E+14,-20.39341855,-24.56121072,8.381277212
3.82629E+14,-0.427752221,-0.427752221,0.451584534
3.73829E+14,-715570.2579,-401599.4666,1059274.548
3.3342E+14,-1.691623587,-0.976584917,2.073549574
3.30304E+14,-12.93723808,-12.93723808,17.90784964
2.72524E+14,-34.27425915,-0.241235705,104.9020762
2.55654E+14,-46.71244193,-12.13851496,144.377974
2.54157E+14,-0.962759355,-0.768582347,1.159816538
818999010,-42.96782847,-9.961550303,138.8645677
817887350,-47.08997079,-12.58958934,141.8117545
810464660,-49.96951872,-12.1823987,144.9300113
804956950,-37.2744145,-9.057872557,118.1036543
546494170,-47.06855976,-13.0173841,143.6283801
505152130,-74.12254668,-11.73819842,211.8484449
423406130,-65.0954311,-10.03409135,111.9503832
423401815,-42.94144724,-11.62275603,132.8803909
423205010,-35.46356926,-8.820574202,113.7468526
422026250,-46.94475453,-13.11660168,142.9272396
422016550,-39.87201812,-10.49132128,124.2428712
414826545,-47.71509851,-13.26724446,145.1439007
357591500,-47.06826675,-13.00841959,143.5446066
357587728,-46.42335163,-12.51054538,141.9271272
357587400,-45.24624282,-11.8682788,138.7627844
357587140,-47.21242384,-13.1024459,143.8196811
357587090,-47.01414187,-12.9738435,143.33911
357586650,-46.58169269,-12.61858386,142.2834292
357568980,-46.24286977,-12.26491017,141.5105062
357568650,-47.371349,-13.13457852,144.2685829
357526200,-47.02100224,-12.74282602,143.5095849
351706800,-21.19994641,-3.709383033,74.52810219
345577330,-40.77239288,-9.29593991,127.5617843
344894205,-45.25832621,-11.31141885,138.3095426
343233905,-41.85734781,-10.5462536,128.8665811
242354750,-44.70556068,-10.71647503,139.76325
214685800,-43.8853732,-10.82890851,135.1802691
214678175,-45.06000657,-11.4189809,137.9484534
214657975,-47.14110843,-12.70016617,143.7898582
214655255,-46.72785469,-12.37855506,142.7855203
214645075,-43.43156117,-10.72975875,134.632432
214642825,-46.71787345,-12.48242751,142.7553083
214627970,-44.52487893,-11.20577459,137.1230942
214297160,-47.67624542,-13.19041633,145.0978934
214295600,-46.15134333,-11.81941281,141.255745
214291555,-43.47160048,-10.9300808,134.7098139
214269560,-46.15634644,-11.64895561,141.9885192
214266080,-47.73084581,-13.27928029,145.2113257
214266000,-43.92648787,-11.12668447,135.7647495
214265808,-46.63102098,-12.28384877,142.526704
212467595,-47.06630788,-12.05480516,143.3298822
212466000,-47.21060639,-12.18291208,143.5248455
212433550,-29.87810623,-6.316225108,96.07136631
212430653,-47.26471471,-12.48691047,143.9240451
212430293,-46.83626673,-12.03335978,142.9318175
212427947,-47.50504882,-12.99900843,144.6406714
212419274,-47.61450247,-12.4741312,145.1626139
212414900,-40.91556965,-9.856789166,128.6842952
212393300,-47.51619012,-12.5505464,144.8483502
212378405,-722.6322238,-381.5608416,1005.174605
211139110,-47.72620951,-13.2760068,145.1918101
210166029,-47.39883903,-12.34619832,144.7866518
209782609,-44.7035087,-11.09009306,137.9587954
209741955,-42.44445605,-10.04789133,132.8702426
209734440,-46.48738191,-11.93426002,142.9376913
209722970,-46.28779516,-12.14197134,142.2580212
209553650,-37.99906372,-7.265522992,127.0657333
209399200,-44.80375139,-11.19836353,139.9166105
208925200,-44.52745507,-11.09552231,138.4436131
208773375,-37.50039618,-8.863366116,118.314533
208758850,-43.33651025,-10.87161074,134.186278
208735012,-47.35136458,-13.03584507,144.2465256
208732885,-45.79073157,-12.12855399,140.274364
208732534,-46.9107343,-12.79457272,143.0944302
208726005,-32.04039626,-6.063879684,104.3632567
208675010,-46.93902788,-12.64885409,143.5650543
208524975,-45.5763203,-11.16211677,142.9707079
208524090,-47.55078572,-12.81045627,145.0285342
208521324,-46.09710748,-11.67389733,143.6733531
208250410,-33.71065832,-7.748102873,103.296687
208111310,-44.54529943,-11.80836485,134.0856682
158397967,-47.02229117,-12.76272998,143.4491998
158175320,-47.5600761,-13.19732313,144.7669852
148471320,-47.36957361,-12.96239246,144.7967699
142400103,-45.51800361,-12.07138546,140.3120697
137462010,-41.66258879,-10.34167907,131.6942914
137449480,-43.82179068,-11.52046529,137.7227516
136230002,-44.35979529,-11.67534653,137.1295907
103530001,-25.74522865,-4.453285478,41.07081499
103366092,0.126210158,0.642187736,1.447147326
102432241,-124.4351679,-63.68233759,132.3388816
94985005,-47.70077911,-13.27928029,145.0786846
