site_no, average, median, standard_deviation
4.80608E+14,-949.2461065,-328.781026,1396.747113
4.12453E+14,0.23850504,0.189899725,0.218408869
4.12141E+14,0.183887164,0.09323039,0.270198996
4.11228E+14,-49.7262913,-49.7262913,14.95859394
4.10401E+14,-8.214248338,-5.927553909,8.799518162
4.10014E+14,-23.44807466,-22.2710346,13.89486069
4.02913E+14,0.178599721,0.13169264,0.244604336
4.02114E+14,-32.06043773,-22.94301736,38.781936
3.94839E+14,-2.041811845,-0.573706339,3.23733345
3.9422E+14,-6.681955261,-3.879323861,7.461058604
3.93109E+14,-17.37058843,-4.636334618,36.71350367
3.85106E+14,-14.09806807,-10.48553851,17.3294283
3.83926E+14,-31.38181816,-34.91119522,9.353890604
3.3342E+14,-3.586208311,-0.34040099,8.354172251
3.30304E+14,0.041182176,0.041182176,0.28417659
2.72524E+14,-125.5070784,-20.17985944,221.3782663
2.55654E+14,-270.4847008,-111.9075698,705.4349009
2.54157E+14,-5.685024988,-3.759225485,6.620721708
818999010,-141.9216105,-61.38902537,270.7929615
817887350,-157.9477163,-68.91792806,315.7127007
810464660,-191.3872518,-98.48052364,408.2901131
804956950,-172.4458603,-76.30643876,380.5909745
546494170,-273.2645209,-113.8903818,708.0775787
505152130,-150.3051168,-67.1522439,197.8118309
423406130,-3863.528859,-2048.001459,4516.285695
423401815,-174.1734116,-60.41897894,514.4934228
423205010,-144.2739813,-44.53913144,462.211509
422026250,-268.0123689,-112.9046681,703.8926643
422016550,-141.0739966,-30.38663584,453.6612774
414826545,-274.6012473,-114.2184657,707.428868
357591500,-266.4741636,-111.4732311,692.3839958
357587728,-253.8410995,-108.1958577,669.6918336
357587400,-232.9287361,-103.3215287,626.3523791
357587140,-263.6543091,-111.9410534,687.6825963
357587090,-262.2989194,-110.9074567,684.3776059
357586650,-253.7091096,-107.8923165,671.8218666
357568980,-241.0659735,-104.2456083,649.9112411
357568650,-265.8404678,-111.6651423,693.536388
357526200,-242.757959,-105.7021433,652.4789435
351706800,-610.7638458,-191.8014853,733.0208073
345577330,-153.1635292,-60.56567726,448.5714763
344894205,-227.7527184,-89.02480008,623.3306812
343233905,-1121.704051,-285.842545,2862.536483
242354750,-223.091391,-95.55081292,652.2939153
214685800,-234.575171,-94.07542708,661.1979448
214678175,-253.6521869,-104.0581427,679.3198121
214657975,-262.6642347,-107.3392083,701.2325904
214655255,-260.177004,-105.9256279,696.4670731
214645075,-231.4290842,-91.71424087,659.8236939
214642825,-264.4249045,-108.3531347,696.8209773
214627970,-247.9992646,-100.2988038,671.4780824
214297160,-270.4583235,-113.2321888,707.5082399
214295600,-251.0322925,-101.7612724,682.1163579
214291555,-219.1308075,-80.3976202,647.8464717
214269560,-230.5251817,-86.87394346,668.9653304
214266080,-271.3670567,-113.9270905,709.0798095
214266000,-228.5015508,-92.37354422,657.6363847
214265808,-259.7950988,-107.1265343,693.5291471
212467595,-262.8391263,-107.8221132,701.4423749
212466000,-267.5507279,-110.9812919,705.9734217
212433550,-476.0127215,-71.21013214,782.2055157
212430653,-268.9635834,-111.6764777,704.9324111
212430293,-263.5318829,-109.3003303,700.583546
212427947,-272.2381437,-113.0093917,706.7275883
212419274,-256.0127873,-103.6368135,710.3284268
212414900,-203.8880991,-72.35692657,613.1916156
