site_no,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,drain_area_va,contrib_drain_area_va,reliability_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd
1010000,46.70055556,-69.7155556,S,NAD83,931.26,,NGVD29,1010001,,,1341,1341,,,,
1010070,46.89388889,-69.7516667,S,NAD83,885,,NGVD29,1010001,,,171,171,,,,
1010500,47.11305556,-69.0880556,S,NAD83,590.38,,NGVD29,1010001,,,2680,2680,,,,
1011000,47.0697222,-69.0794444,S,NAD83,604.6,,NGVD29,1010002,,,1478,1229,,,,
1011500,47.20697926,-68.9564281,S,NAD83,550,,NGVD29,,,,524,524,,,,
1013500,47.2375,-68.58277778,S,NAD83,511.38,,NGVD29,1010003,,,873,873,,,,
1014000,47.2833333,-68.58527778,S,NAD83,505,,NAVD88,1010001,,,5929,5680,,,,
1015800,46.52305556,-68.3716667,S,NAD83,530,,NGVD29,1010004,,,892,892,,,,
1017000,46.7772222,-68.1572222,S,NAD83,436.4,,NGVD29,1010004,,,1654,1654,,,,
1017060,46.7836111,-67.9891667,5,NAD83,486.7,,NAVD88,1010004,,,5.7,5.7,,,,
1017290,46.8886111,-67.945,5,NAD83,420,,NAVD88,1010004,,,234,234,,,,
1017550,46.62805556,-67.9530556,S,NAD83,580,,NGVD29,1010005,,,3.82,3.82,,,,
1017960,46.105,-67.88138889,S,NAD83,355,,NGVD29,1010005,,C,88,88,,,,
1018000,46.105,-67.8666667,S,NAD83,333.92,,NGVD29,1010005,,,175,175,,,,
1018009,46.11527778,-67.84027778,5,NAD83,355,,NAVD88,1010005,,,7.99,7.99,,,,
1018035,46.1811111,-67.80388889,S,NAD83,290,,NGVD29,1010005,,C,257,257,,,,
1018500,45.5683333,-67.4283333,S,NAD83,367.2,,NAVD88,1050001,,,413,413,,,,
1019000,45.1725,-67.76888889,S,NAD83,273.56,,NAVD88,1050001,,,228.3,228.3,,,,
1021000,45.1369444,-67.3180556,S,NAD83,65.72,,NAVD88,1050001,,,1374,1374,,,,
1021470,44.8008333,-67.725,S,NAD83,133.16,,NAVD88,1050002,,,7.79,7.79,,,,
1021480,44.9369444,-67.7361111,S,NAD83,170,,NGVD29,1050002,,,29.1,29.1,,,,
1022294,44.85909167,-68.10396389,5,NAD83,906.55,,NGVD29,1050002,,,0.042,0.042,,,,
