site_no, average,dec_lat_va,dec_long_va
1021000,-0.391344665,45.1369444,-67.3180556
1018500,-15.35400656,45.5683333,-67.4283333
1021470,-0.38250299,44.8008333,-67.725
1021480,0.574226091,44.9369444,-67.7361111
1019000,-1.376063837,45.1725,-67.76888889
1018035,0.582815478,46.1811111,-67.80388889
1018009,0.223961834,46.11527778,-67.84027778
1018000,0.541317957,46.105,-67.8666667
1017960,0.520323641,46.105,-67.88138889
1022500,0.43996,44.60805556,-67.93527778
1017290,0.133859498,46.8886111,-67.945
1017550,0.14928413,46.62805556,-67.9530556
1017060,-0.045528632,46.7836111,-67.9891667
1022294,-0.293655166,44.85909167,-68.10396389
1017000,-0.081779669,46.7772222,-68.1572222
1030350,0.5130995,45.7086111,-68.1580556
1022840,0.10326311,44.33277778,-68.2066667
1030500,-0.253748986,45.5011111,-68.3058333
1015800,0.326660541,46.52305556,-68.3716667
1013500,0.531700886,47.2375,-68.58277778
1014000,-0.604498851,47.2833333,-68.58527778
1029500,0.15997373,45.73027778,-68.5894444
1029200,0.52862753,46.14305556,-68.6336111
1034500,-0.648406038,45.2361111,-68.65138889
1037000,0.364128253,44.8611111,-68.8316667
1034000,-0.083397836,45.26055556,-68.8686111
1037380,0.269950733,44.32916667,-69.0608333
1011000,0.232479004,47.0697222,-69.0794444
1010500,-0.597965137,47.11305556,-69.0880556
1031510,0.498181222,45.15027778,-69.23638889
1031500,0.546717113,45.175,-69.3147222
1031450,0.485767314,45.1844444,-69.4522222
1031300,0.582981304,45.2672222,-69.58388889
1038000,0.256958679,44.22277778,-69.59388889
1048220,0.569444697,44.9475,-69.6569444
1010000,-0.637601282,46.70055556,-69.7155556
1010070,0.289845677,46.89388889,-69.7516667
1049500,0.134676959,44.22916667,-69.7780556
1046000,0.777808238,45.0644444,-69.8805556
1046500,-1.482642624,45.0519444,-69.8855556
1047150,-0.270618515,44.77888889,-69.8869444
1048000,0.27083742,44.70805556,-69.9375
1047000,0.542547063,44.86916667,-69.955
1042500,-2.679698724,45.3397222,-69.9619444
1027200,0.548636203,45.93527778,-69.9936111
1105880,-6.171268678,41.70011074,-70.1069625
1043500,-0.926770267,45.22905,-70.20112778
1059000,-0.08455592,44.0722222,-70.2080556
1055500,0.629431058,44.26944444,-70.2297222
1044550,0.484882711,45.3136111,-70.2416667
1064118,-0.546854861,43.68694444,-70.3472222
1047200,0.553783785,44.85777778,-70.48527778
11058837,-19.71061513,41.59233175,-70.50780579
1057000,0.568766879,44.30388889,-70.5397222
1054500,-0.233388901,44.5519444,-70.5441667
1067950,0.628556104,43.4322222,-70.5533333
1069700,-2.603859697,43.37916667,-70.5833333
1055000,0.572032663,44.64277778,-70.58888889
1105876,-7.405756124,41.94177039,-70.6225338
1063310,-19.60086663,43.85555556,-70.6397222
1069500,0.19188087,43.4183333,-70.6583333
1054300,0.513090666,44.5933333,-70.7330556
1105870,0.127110539,41.9909362,-70.7336491
1068910,0.109659157,43.4183333,-70.7380556
1066000,-0.21322356,43.80805556,-70.7816667
1105730,0.201346382,42.1006571,-70.8225415
1105917,-0.062536791,41.66260446,-70.8383696
1073785,0.50038126,43.0358333,-70.8475
1105638,0.534266159,42.2348226,-70.8719892
1102000,0.663417671,42.6598157,-70.8936622
1105608,-143.8247493,42.21305556,-70.92638889
1105600,-0.175074915,42.1903779,-70.9447679
1101000,0.58204796,42.75286948,-70.9456096
1073500,0.597942122,43.10258558,-70.952559
1108000,0.223166722,41.9339903,-70.9564307
1072870,0.623212278,43.23480487,-70.9564507
1073000,0.624886562,43.1486955,-70.9650603
1072800,0.590501711,43.26841527,-70.9736739
1105583,0.124719041,42.22093308,-70.9781026
1054200,0.611754795,44.39055556,-70.9797222
1105933,0.691997743,41.58538185,-70.9903171
1102345,-1.270244696,42.4695404,-71.0069954
1101500,0.515311541,42.56953869,-71.0269974
1073587,0.348304112,42.9845316,-71.038392
1052500,0.510288109,44.8775,-71.0575
11055566,-6.564080869,42.2709321,-71.06838369
1108410,0.600616838,41.8998232,-71.0894897
1064500,0.544466394,43.9908333,-71.0905556
1109060,0.263128447,41.8662122,-71.12282369
1053500,-0.940676519,44.7825,-71.1286111
1103025,-11.99954171,42.40704077,-71.1339422
1109070,0.245681478,41.840379,-71.142824
1105500,0.502932519,42.15454356,-71.1458842
1105554,0.348074372,42.2092655,-71.1458851
1100627,0.032353128,42.6714806,-71.1492239
1104000,-1.996430159,42.2550985,-71.1642196
10735562,-17.69837411,42.94897557,-71.16478279
1054114,0.258261125,44.38131944,-71.1706556
1109000,0.37114717,41.94760015,-71.1767155
1053600,0.023742438,44.6661111,-71.18138889
1054000,0.033943352,44.4358333,-71.19027778
1105000,0.299677869,42.1775987,-71.2008863
1073319,0.320030391,43.04138889,-71.2016667
1100561,0.119954487,42.7431456,-71.208393
1100600,0.106946223,42.5681488,-71.2147792
1100505,-0.232876004,42.8492547,-71.2150607
1104200,-0.40695901,42.3164861,-71.227833
1104500,-0.45844391,42.37231857,-71.2336668
1103500,0.502485051,42.256209,-71.2600558
1104480,0.157393104,42.3556519,-71.2650565
1104475,-1.369615407,42.3545408,-71.2681121
1104405,0.192634125,42.436484,-71.2695014
1104455,-1968.419373,42.37259606,-71.27033448
1100568,-1.546441553,42.46703909,-71.2722795
