site_no, average,dec_lat_va,dec_long_va,NSE_state
1021000,-0.134533791,45.1369444,-67.3180556,4
1018500,-6.311543071,45.5683333,-67.4283333,4
1021470,-1.650900874,44.8008333,-67.725,4
1021480,0.619526877,44.9369444,-67.7361111,3
1019000,-4.916952218,45.1725,-67.76888889,4
1018035,0.333470499,46.1811111,-67.80388889,4
1018009,-1.004148665,46.11527778,-67.84027778,4
1018000,0.613621489,46.105,-67.8666667,3
1017960,0.08788055,46.105,-67.88138889,4
1022500,0.574599573,44.60805556,-67.93527778,3
1017290,-0.310007746,46.8886111,-67.945,4
1017550,-0.400230777,46.62805556,-67.9530556,4
1017060,-0.337289466,46.7836111,-67.9891667,4
1022294,-0.124901556,44.85909167,-68.10396389,4
1017000,-0.098042291,46.7772222,-68.1572222,4
1030350,0.309547568,45.7086111,-68.1580556,4
1022840,0.023728758,44.33277778,-68.2066667,4
1030500,0.448249031,45.5011111,-68.3058333,4
1015800,0.029522476,46.52305556,-68.3716667,4
1013500,-0.072065541,47.2375,-68.58277778,4
1014000,-0.314252497,47.2833333,-68.58527778,4
1029500,0.327353564,45.73027778,-68.5894444,4
1029200,0.351316165,46.14305556,-68.6336111,4
1034500,-0.281903034,45.2361111,-68.65138889,4
1037000,0.266217965,44.8611111,-68.8316667,4
1034000,-0.031890791,45.26055556,-68.8686111,4
1037380,0.58917266,44.32916667,-69.0608333,3
1011000,-0.291792345,47.0697222,-69.0794444,4
1010500,-0.272073527,47.11305556,-69.0880556,4
1031510,0.345474962,45.15027778,-69.23638889,4
1031500,0.451112863,45.175,-69.3147222,4
1031450,0.40088147,45.1844444,-69.4522222,4
1031300,0.453602825,45.2672222,-69.58388889,4
1038000,0.24503378,44.22277778,-69.59388889,4
1048220,0.293508264,44.9475,-69.6569444,4
1010000,-0.547937141,46.70055556,-69.7155556,4
1010070,-0.228726754,46.89388889,-69.7516667,4
1049500,-0.635517968,44.22916667,-69.7780556,4
1046000,0.487443326,45.0644444,-69.8805556,4
1046500,-10.18782528,45.0519444,-69.8855556,4
1047150,-4.726992763,44.77888889,-69.8869444,4
1048000,-0.354664251,44.70805556,-69.9375,4
1047000,-0.189377791,44.86916667,-69.955,4
1042500,-9.382808972,45.3397222,-69.9619444,4
1027200,0.46844391,45.93527778,-69.9936111,4
1105880,-1.485962075,41.70011074,-70.1069625,4
1043500,-3.484356665,45.22905,-70.20112778,4
1059000,-1.660868067,44.0722222,-70.2080556,4
1055500,-0.019666465,44.26944444,-70.2297222,4
1044550,-0.42333018,45.3136111,-70.2416667,4
1064118,-0.758493103,43.68694444,-70.3472222,4
1047200,0.279457724,44.85777778,-70.48527778,4
11058837,-259.7740215,41.59233175,-70.50780579,4
1057000,-0.048757176,44.30388889,-70.5397222,4
1054500,-1.787321315,44.5519444,-70.5441667,4
1067950,0.571417344,43.4322222,-70.5533333,3
1069700,-6.297083052,43.37916667,-70.5833333,4
1055000,0.123150511,44.64277778,-70.58888889,4
1105876,-5.534441326,41.94177039,-70.6225338,4
1063310,-63.16005043,43.85555556,-70.6397222,4
1069500,-0.016138809,43.4183333,-70.6583333,4
1054300,-0.050389762,44.5933333,-70.7330556,4
1105870,-1.023989075,41.9909362,-70.7336491,4
1068910,-0.292421013,43.4183333,-70.7380556,4
1066000,0.346746819,43.80805556,-70.7816667,4
1105730,0.094881911,42.1006571,-70.8225415,4
1105917,0.065450468,41.66260446,-70.8383696,4
1073785,-0.138484103,43.0358333,-70.8475,4
1105638,0.221160507,42.2348226,-70.8719892,4
1102000,-0.047676618,42.6598157,-70.8936622,4
1105608,-57.13031846,42.21305556,-70.92638889,4
1105600,-0.100862165,42.1903779,-70.9447679,4
1101000,0.037204233,42.75286948,-70.9456096,4
1073500,0.48287749,43.10258558,-70.952559,4
1108000,0.247575026,41.9339903,-70.9564307,4
1072870,0.665538912,43.23480487,-70.9564507,2
1073000,0.43114449,43.1486955,-70.9650603,4
1072800,-0.171669108,43.26841527,-70.9736739,4
1105583,-0.097364321,42.22093308,-70.9781026,4
1054200,0.265651916,44.39055556,-70.9797222,4
1105933,0.647071714,41.58538185,-70.9903171,3
1102345,-2.7259278,42.4695404,-71.0069954,4
1101500,-0.335366638,42.56953869,-71.0269974,4
1073587,-0.633531071,42.9845316,-71.038392,4
1052500,0.30248194,44.8775,-71.0575,4
11055566,-76.98996445,42.2709321,-71.06838369,4
1108410,0.309818581,41.8998232,-71.0894897,4
1064500,0.359325835,43.9908333,-71.0905556,4
1109060,0.375461315,41.8662122,-71.12282369,4
1053500,-29.20715118,44.7825,-71.1286111,4
1103025,-10.11584843,42.40704077,-71.1339422,4
1109070,0.361046899,41.840379,-71.142824,4
1105500,0.280616811,42.15454356,-71.1458842,4
1105554,-0.24719498,42.2092655,-71.1458851,4
1100627,-0.283638251,42.6714806,-71.1492239,4
1104000,-1.919343618,42.2550985,-71.1642196,4
10735562,-229.8785361,42.94897557,-71.16478279,4
1054114,0.435571351,44.38131944,-71.1706556,4
1109000,0.399334208,41.94760015,-71.1767155,4
1053600,-14.07076411,44.6661111,-71.18138889,4
1054000,-18.46413725,44.4358333,-71.19027778,4
1105000,-0.712853925,42.1775987,-71.2008863,4
1073319,0.519227553,43.04138889,-71.2016667,3
1100561,0.14147401,42.7431456,-71.208393,4
1100600,-0.093288285,42.5681488,-71.2147792,4
1100505,-0.791936191,42.8492547,-71.2150607,4
1104200,-3.125378858,42.3164861,-71.227833,4
1104500,-2.740776662,42.37231857,-71.2336668,4
1103500,-0.313276697,42.256209,-71.2600558,4
1104480,-0.947986094,42.3556519,-71.2650565,4
1104475,-2.510418467,42.3545408,-71.2681121,4
1104405,0.430606826,42.436484,-71.2695014,4
1104455,-2869.940285,42.37259606,-71.27033448,4
1100568,-1.839185782,42.46703909,-71.2722795,4
10642505,-196.1141102,44.08388889,-71.2855556,4
1064801,0.516977534,43.83007396,-71.2878488,3
1103455,-6.487018074,42.25398645,-71.29339017,4
1100000,-0.243861076,42.64592464,-71.2983937,4
1099500,-0.606263031,42.6367581,-71.3020047,4
1109403,-0.326031913,41.83093377,-71.3503315,4
10965852,-182.8656247,42.78286636,-71.35367448,4
1089500,0.638025329,43.25674759,-71.36951248,3
1113895,0.245241843,41.8884331,-71.38144467,4
1098500,-0.726194692,42.31514167,-71.3838083,4
1103280,-0.453298706,42.1398197,-71.3895032,4
1098530,0.005743376,42.3253732,-71.3975605,4
1097300,-1.221712267,42.51259289,-71.40422829,4
1089925,0.575275808,43.15980438,-71.4059011,3
1114000,-0.052701593,41.833989,-71.41061208,4
1129200,-2.732440012,45.04032368,-71.4439704,4
1117000,0.381873274,41.6412122,-71.4445016,4
1116500,0.016699594,41.75093399,-71.4450575,4
1097000,-0.366356567,42.432038,-71.4497848,4
1092000,-0.020735361,42.9481405,-71.4634002,4
1130000,0.618613757,44.62505316,-71.4689721,3
1116905,0.452140341,41.63,-71.47888889,4
1089100,0.470775762,43.21369248,-71.4803481,4
1114500,-0.905900885,41.8589884,-71.4872823,4
1112500,0.375375777,42.0064871,-71.5025613,4
1094000,0.233918226,42.8575865,-71.5061785,4
1117350,-0.66392281,41.4823233,-71.5511719,4
1111500,0.409001956,41.99648716,-71.56200758,4
1116000,-1.532435806,41.69010026,-71.5658958,4
1117370,-0.257598285,41.53898957,-71.568673,4
