site,average,lat,long,range,,site_no,dec_lat_va,dec_long_va
1021000,0.712140841,45.1369444,-67.3180556,2,,1010000,46.70055556,-69.7155556
1018500,-142.251278,45.5683333,-67.4283333,4,,1010070,46.89388889,-69.7516667
1021470,-1.522156238,44.8008333,-67.725,4,,1010500,47.11305556,-69.0880556
1021480,0.86071385,44.9369444,-67.7361111,1,,1011000,47.0697222,-69.0794444
1019000,-0.907362239,45.1725,-67.76888889,4,,1011500,47.20697926,-68.9564281
1022500,0.738085989,44.60805556,-67.93527778,2,,1013500,47.2375,-68.58277778
1017550,0.032858758,46.62805556,-67.9530556,4,,1014000,47.2833333,-68.58527778
1022294,-0.157993613,44.85909167,-68.10396389,4,,1015800,46.52305556,-68.3716667
1017000,-0.756881857,46.7772222,-68.1572222,4,,1017000,46.7772222,-68.1572222
1030500,-0.650184009,45.5011111,-68.3058333,4,,1017060,46.7836111,-67.9891667
1015800,-0.493453075,46.52305556,-68.3716667,4,,1017290,46.8886111,-67.945
1013500,0.580066617,47.2375,-68.58277778,3,,1017550,46.62805556,-67.9530556
1014000,-0.642771122,47.2833333,-68.58527778,4,,1017960,46.105,-67.88138889
1029500,0.111644233,45.73027778,-68.5894444,4,,1018000,46.105,-67.8666667
1029200,0.390729144,46.14305556,-68.6336111,4,,1018009,46.11527778,-67.84027778
1034500,-0.593543534,45.2361111,-68.65138889,4,,1018035,46.1811111,-67.80388889
1034000,-0.083166927,45.26055556,-68.8686111,4,,1018500,45.5683333,-67.4283333
1037380,0.325397001,44.32916667,-69.0608333,4,,1019000,45.1725,-67.76888889
1011000,-0.333029365,47.0697222,-69.0794444,4,,1021000,45.1369444,-67.3180556
1010500,-0.321456168,47.11305556,-69.0880556,4,,1021470,44.8008333,-67.725
1031500,0.388466418,45.175,-69.3147222,4,,1021480,44.9369444,-67.7361111
1031450,0.254989461,45.1844444,-69.4522222,4,,1022294,44.85909167,-68.10396389
1031300,0.451089184,45.2672222,-69.58388889,4,,1022500,44.60805556,-67.93527778
1038000,0.314249353,44.22277778,-69.59388889,4,,1022840,44.33277778,-68.2066667
1010000,-0.493508609,46.70055556,-69.7155556,4,,1027200,45.93527778,-69.9936111
1010070,0.18572576,46.89388889,-69.7516667,4,,1029200,46.14305556,-68.6336111
1049500,0.3000522,44.22916667,-69.7780556,4,,1029500,45.73027778,-68.5894444
1046500,-0.481454594,45.0519444,-69.8855556,4,,1030350,45.7086111,-68.1580556
1048000,0.543512302,44.70805556,-69.9375,3,,1030500,45.5011111,-68.3058333
1047000,0.427075356,44.86916667,-69.955,4,,1031300,45.2672222,-69.58388889
1042500,-6.845875396,45.3397222,-69.9619444,4,,1031450,45.1844444,-69.4522222
1059000,-0.164180298,44.0722222,-70.2080556,4,,1031500,45.175,-69.3147222
1044550,0.465403322,45.3136111,-70.2416667,4,,1031510,45.15027778,-69.23638889
11058837,-5.562090706,41.59233175,-70.50780579,4,,1034000,45.26055556,-68.8686111
1057000,0.396525706,44.30388889,-70.5397222,4,,1034500,45.2361111,-68.65138889
1054500,-1.144021013,44.5519444,-70.5441667,4,,1037000,44.8611111,-68.8316667
1055000,0.554108737,44.64277778,-70.58888889,3,,1037380,44.32916667,-69.0608333
1063310,-10.64293438,43.85555556,-70.6397222,4,,1038000,44.22277778,-69.59388889
1054300,0.59426589,44.5933333,-70.7330556,3,,1042500,45.3397222,-69.9619444
1105870,0.689967163,41.9909362,-70.7336491,2,,1043500,45.22905,-70.20112778
1066000,-0.565935449,43.80805556,-70.7816667,4,,1044550,45.3136111,-70.2416667
1105730,0.443474034,42.1006571,-70.8225415,4,,1046000,45.0644444,-69.8805556
1102000,0.739860991,42.6598157,-70.8936622,2,,1046500,45.0519444,-69.8855556
1105600,0.148394243,42.1903779,-70.9447679,4,,1047000,44.86916667,-69.955
1101000,0.814432317,42.75286948,-70.9456096,1,,1047150,44.77888889,-69.8869444
1073500,0.790082694,43.10258558,-70.952559,1,,1047200,44.85777778,-70.48527778
1108000,0.690715941,41.9339903,-70.9564307,2,,1048000,44.70805556,-69.9375
1073000,0.681009323,43.1486955,-70.9650603,2,,1048220,44.9475,-69.6569444
1072800,0.849695629,43.26841527,-70.9736739,1,,1049500,44.22916667,-69.7780556
1054200,0.522453305,44.39055556,-70.9797222,3,,1052500,44.8775,-71.0575
1105933,0.722137934,41.58538185,-70.9903171,2,,1053500,44.7825,-71.1286111
1102345,0.210719967,42.4695404,-71.0069954,4,,1053600,44.6661111,-71.18138889
1101500,0.740642954,42.56953869,-71.0269974,2,,1054000,44.4358333,-71.19027778
1073587,0.408560309,42.9845316,-71.038392,4,,1054114,44.38131944,-71.1706556
1052500,0.51427849,44.8775,-71.0575,3,,1054200,44.39055556,-70.9797222
11055566,-3.969904483,42.2709321,-71.06838369,4,,1054300,44.5933333,-70.7330556
1064500,0.595326812,43.9908333,-71.0905556,3,,1054500,44.5519444,-70.5441667
1109060,0.639964303,41.8662122,-71.12282369,3,,1055000,44.64277778,-70.58888889
1053500,-0.401994761,44.7825,-71.1286111,4,,1055500,44.26944444,-70.2297222
1109070,0.589481687,41.840379,-71.142824,3,,1057000,44.30388889,-70.5397222
1105500,0.772748517,42.15454356,-71.1458842,1,,1059000,44.0722222,-70.2080556
1104000,-0.70117773,42.2550985,-71.1642196,4,,1063310,43.85555556,-70.6397222
10735562,-5.208775986,42.94897557,-71.16478279,4,,1064118,43.68694444,-70.3472222
1109000,0.729616874,41.94760015,-71.1767155,2,,10642505,44.08388889,-71.2855556
1054000,0.100257253,44.4358333,-71.19027778,4,,1064500,43.9908333,-71.0905556
1105000,0.23381078,42.1775987,-71.2008863,4,,1064801,43.83007396,-71.2878488
1100600,0.671646453,42.5681488,-71.2147792,2,,1066000,43.80805556,-70.7816667
1100505,-0.023407448,42.8492547,-71.2150607,4,,1067950,43.4322222,-70.5533333
1104200,0.791281387,42.3164861,-71.227833,1,,1068910,43.4183333,-70.7380556
1104500,0.702575252,42.37231857,-71.2336668,2,,1069500,43.4183333,-70.6583333
1103500,0.814684226,42.256209,-71.2600558,1,,1069700,43.37916667,-70.5833333
1104480,0.394564536,42.3556519,-71.2650565,4,,1072800,43.26841527,-70.9736739
1104455,-507.3691644,42.37259606,-71.27033448,4,,1072870,43.23480487,-70.9564507
