,site,average,lat_x,long_x,range,lat_y,long_y,Altitude
1,12306500.0,-0.55642536,48.99916667,-116.1797222,4.0,48.99916667,-116.1797222,2620.06
2,12321500.0,-1.335006166,48.9972222,-116.5691667,4.0,48.9972222,-116.5691667,1776.0
3,5124000.0,-0.53549736,48.9964079,-100.9584889,4.0,48.9964079,-100.9584889,1403.63
4,12322000.0,-3.962925343,48.99638889,-116.5075,4.0,48.99638889,-116.5075,1700.0
5,5106000.0,-0.197780964,48.99248859,-95.6621992,4.0,48.99248859,-95.6621992,1038.4
6,5114000.0,-0.307031837,48.9900156,-101.9582209,4.0,48.9900156,-101.9582209,1604.99
7,5100000.0,-1.617322914,48.9897138,-97.5570221,4.0,48.9897138,-97.5570221,810.99
8,12442500.0,-17.17959296,48.98460109,-119.6184098,4.0,48.98460109,-119.6184098,1137.7
9,12404500.0,-0.037546586,48.9843487,-118.2163989,4.0,48.9843487,-118.2163989,1425.5
10,5112000.0,0.337464003,48.98164829,-96.4630804,4.0,48.98164829,-96.4630804,1002.31
11,12401500.0,0.17196823,48.98128428,-118.7664259,4.0,48.98128428,-118.7664259,1836.8
12,5113600.0,-0.313111245,48.9811417,-103.0765734,4.0,48.9811417,-103.0765734,1841.4
13,6135000.0,-10.18095961,48.9748194,-110.4217778,4.0,48.9748194,-110.4217778,2660.0
14,12438900.0,-21.30478945,48.9698886,-119.4056188,4.0,48.9698886,-119.4056188,1079.0
15,6169500.0,0.17135558,48.969375,-106.8398417,4.0,48.969375,-106.8398417,2530.0
16,6133500.0,-272.3366536,48.96352778,-113.0623556,4.0,48.96352778,-113.0623556,4240.0
17,12212050.0,0.781163831,48.9387257,-122.4790532,1.0,48.9387257,-122.4790532,54.0
18,12439500.0,-79.99602663,48.9307184,-119.4203419,4.0,48.9307184,-119.4203419,900.0
19,5099600.0,-1.935158277,48.9133284,-97.9170369,4.0,48.9133284,-97.9170369,934.62
20,5107500.0,0.722802267,48.9102603,-95.9219402,2.0,48.9102603,-95.9219402,1018.61
21,12205000.0,0.336569911,48.90595739,-121.8443104,4.0,48.90595739,-121.8443104,1245.0
22,12301300.0,-8.232515562,48.89359167,-115.0878528,4.0,48.89359167,-115.0878528,2518.85
23,5099400.0,-0.220797023,48.86527259,-98.0059317,4.0,48.86527259,-98.0059317,1102.18
24,12397100.0,-14.27349004,48.84492215,-117.2877419,4.0,48.84492215,-117.2877419,2540.2
25,12213100.0,0.62918596,48.84483249,-122.5893389,3.0,48.84483249,-122.5893389,4.61
27,5017500.0,0.366511944,48.83303718,-113.4206533,4.0,48.83303718,-113.4206533,4468.13
28,12210900.0,0.483352049,48.8326141,-122.3390502,4.0,48.8326141,-122.3390502,200.0
29,12447390.0,-0.058619328,48.8229245,-120.1459245,4.0,48.8229245,-120.1459245,4300.0
30,5014500.0,0.477977517,48.7988333,-113.6567306,4.0,48.7988333,-113.6567306,4876.78
31,5104500.0,0.867791047,48.79470197,-95.7424885,1.0,48.79470197,-95.7424885,1031.18
33,12208000.0,0.537933158,48.7792828,-122.1065434,3.0,48.7792828,-122.1065434,580.0
34,12444290.0,-935.3546819,48.7593207,-119.4092274,4.0,48.7593207,-119.4092274,920.0
36,12202310.0,-0.093346777,48.75399999,-122.354053,4.0,48.75399999,-122.354053,320.0
37,12202300.0,0.279936864,48.7512221,-122.3534976,4.0,48.7512221,-122.3534976,315.0
38,5094000.0,0.633510481,48.7324786,-96.6675444,3.0,48.7324786,-96.6675444,929.82
39,12310100.0,-2.668825314,48.70527778,-116.3697222,4.0,48.70527778,-116.3697222,1699.88
40,12308000.0,-2.353240369,48.70055556,-116.1966667,4.0,48.70055556,-116.1966667,1700.0
41,12210000.0,0.76516209,48.67761256,-122.1665454,1.0,48.67761256,-122.1665454,350.0
42,12201950.0,0.300546695,48.6737223,-122.2673823,4.0,48.6737223,-122.2673823,315.0
43,6183450.0,-0.223624893,48.6728972,-104.5120861,4.0,48.6728972,-104.5120861,2000.0
44,12175500.0,0.801059325,48.6726287,-121.0728964,1.0,48.6726287,-121.0728964,1220.0
45,12209490.0,0.546014301,48.6715016,-122.1396,3.0,48.6715016,-122.1396,410.0
