site,average,lat,long,range,,site_no,dec_lat_va,dec_long_va
1021000,-0.186301642,45.1369444,-67.3180556,4,,1010000,46.70055556,-69.7155556
1018500,-2.787790591,45.5683333,-67.4283333,4,,1010070,46.89388889,-69.7516667
1021470,0.360833177,44.8008333,-67.725,4,,1010500,47.11305556,-69.0880556
1021480,0.330312377,44.9369444,-67.7361111,4,,1011000,47.0697222,-69.0794444
1019000,-9.737797243,45.1725,-67.76888889,4,,1011500,47.20697926,-68.9564281
1018000,-3.321281345,46.105,-67.8666667,4,,1013500,47.2375,-68.58277778
1017960,-3.611175491,46.105,-67.88138889,4,,1014000,47.2833333,-68.58527778
1022500,-0.131309769,44.60805556,-67.93527778,4,,1015800,46.52305556,-68.3716667
1017550,-1.551305516,46.62805556,-67.9530556,4,,1017000,46.7772222,-68.1572222
1022294,-0.057471264,44.85909167,-68.10396389,4,,1017060,46.7836111,-67.9891667
1017000,0.224866624,46.7772222,-68.1572222,4,,1017290,46.8886111,-67.945
1030500,-4.810072077,45.5011111,-68.3058333,4,,1017550,46.62805556,-67.9530556
1015800,0.300258627,46.52305556,-68.3716667,4,,1017960,46.105,-67.88138889
1013500,0.817797231,47.2375,-68.58277778,1,,1018000,46.105,-67.8666667
1014000,0.041686634,47.2833333,-68.58527778,4,,1018009,46.11527778,-67.84027778
1029500,0.833764738,45.73027778,-68.5894444,1,,1018035,46.1811111,-67.80388889
1029200,0.346835889,46.14305556,-68.6336111,4,,1018500,45.5683333,-67.4283333
1034500,-1.809466298,45.2361111,-68.65138889,4,,1019000,45.1725,-67.76888889
1034000,0.293634263,45.26055556,-68.8686111,4,,1021000,45.1369444,-67.3180556
1037380,-0.318434564,44.32916667,-69.0608333,4,,1021470,44.8008333,-67.725
1011000,0.30123747,47.0697222,-69.0794444,4,,1021480,44.9369444,-67.7361111
1010500,-0.055668983,47.11305556,-69.0880556,4,,1022294,44.85909167,-68.10396389
1031500,0.660934499,45.175,-69.3147222,2,,1022500,44.60805556,-67.93527778
1031450,0.711938949,45.1844444,-69.4522222,2,,1022840,44.33277778,-68.2066667
1031300,-1.938856858,45.2672222,-69.58388889,4,,1027200,45.93527778,-69.9936111
1038000,-0.330300054,44.22277778,-69.59388889,4,,1029200,46.14305556,-68.6336111
1010000,-0.08225634,46.70055556,-69.7155556,4,,1029500,45.73027778,-68.5894444
1010070,-0.090333691,46.89388889,-69.7516667,4,,1030350,45.7086111,-68.1580556
1049500,0.283449302,44.22916667,-69.7780556,4,,1030500,45.5011111,-68.3058333
1046500,-1.307342374,45.0519444,-69.8855556,4,,1031300,45.2672222,-69.58388889
1048000,-1.609725153,44.70805556,-69.9375,4,,1031450,45.1844444,-69.4522222
1047000,0.250576583,44.86916667,-69.955,4,,1031500,45.175,-69.3147222
1042500,-2.711962483,45.3397222,-69.9619444,4,,1031510,45.15027778,-69.23638889
1027200,0.528410242,45.93527778,-69.9936111,3,,1034000,45.26055556,-68.8686111
1059000,-0.969248452,44.0722222,-70.2080556,4,,1034500,45.2361111,-68.65138889
