site,average,lat,long,range,,site_no,dec_lat_va,dec_long_va
1021000,-0.095292209,45.1369444,-67.3180556,4,,1010000,46.70055556,-69.7155556
1018500,-9.302234169,45.5683333,-67.4283333,4,,1010070,46.89388889,-69.7516667
1021470,-2.2448904,44.8008333,-67.725,4,,1010500,47.11305556,-69.0880556
1021480,0.873120457,44.9369444,-67.7361111,1,,1011000,47.0697222,-69.0794444
1019000,-0.071399808,45.1725,-67.76888889,4,,1011500,47.20697926,-68.9564281
1018000,0.382141822,46.105,-67.8666667,4,,1013500,47.2375,-68.58277778
1017960,0.449452796,46.105,-67.88138889,4,,1014000,47.2833333,-68.58527778
1022500,0.565727308,44.60805556,-67.93527778,3,,1015800,46.52305556,-68.3716667
1017550,0.100610172,46.62805556,-67.9530556,4,,1017000,46.7772222,-68.1572222
1022294,-0.086956522,44.85909167,-68.10396389,4,,1017060,46.7836111,-67.9891667
1017000,0.773994208,46.7772222,-68.1572222,1,,1017290,46.8886111,-67.945
1030500,0.661674285,45.5011111,-68.3058333,2,,1017550,46.62805556,-67.9530556
1015800,0.761216177,46.52305556,-68.3716667,1,,1017960,46.105,-67.88138889
1013500,0.743569161,47.2375,-68.58277778,2,,1018000,46.105,-67.8666667
1014000,0.298654064,47.2833333,-68.58527778,4,,1018009,46.11527778,-67.84027778
1029500,0.760790056,45.73027778,-68.5894444,1,,1018035,46.1811111,-67.80388889
1029200,0.715116918,46.14305556,-68.6336111,2,,1018500,45.5683333,-67.4283333
1034500,-0.561515784,45.2361111,-68.65138889,4,,1019000,45.1725,-67.76888889
1034000,-0.113664963,45.26055556,-68.8686111,4,,1021000,45.1369444,-67.3180556
1037380,0.611767499,44.32916667,-69.0608333,3,,1021470,44.8008333,-67.725
1011000,0.544121779,47.0697222,-69.0794444,3,,1021480,44.9369444,-67.7361111
1010500,0.186301642,47.11305556,-69.0880556,4,,1022294,44.85909167,-68.10396389
1031500,0.896789106,45.175,-69.3147222,1,,1022500,44.60805556,-67.93527778
1031450,0.893346733,45.1844444,-69.4522222,1,,1022840,44.33277778,-68.2066667
1031300,0.87342247,45.2672222,-69.58388889,1,,1027200,45.93527778,-69.9936111
1038000,0.240085851,44.22277778,-69.59388889,4,,1029200,46.14305556,-68.6336111
1010000,0.569926418,46.70055556,-69.7155556,3,,1029500,45.73027778,-68.5894444
1010070,-0.039342756,46.89388889,-69.7516667,4,,1030350,45.7086111,-68.1580556
1049500,-3.108922744,44.22916667,-69.7780556,4,,1030500,45.5011111,-68.3058333
1046500,-11.22662416,45.0519444,-69.8855556,4,,1031300,45.2672222,-69.58388889
1048000,0.426713035,44.70805556,-69.9375,4,,1031450,45.1844444,-69.4522222
1047000,0.881440238,44.86916667,-69.955,1,,1031500,45.175,-69.3147222
1042500,-4.319514317,45.3397222,-69.9619444,4,,1031510,45.15027778,-69.23638889
1027200,0.498439258,45.93527778,-69.9936111,4,,1034000,45.26055556,-68.8686111
1059000,-1.244116105,44.0722222,-70.2080556,4,,1034500,45.2361111,-68.65138889
1055500,0.389326651,44.26944444,-70.2297222,4,,1037000,44.8611111,-68.8316667
1044550,-0.122316005,45.3136111,-70.2416667,4,,1037380,44.32916667,-69.0608333
11058837,-52.2169379,41.59233175,-70.50780579,4,,1038000,44.22277778,-69.59388889
1057000,0.708486503,44.30388889,-70.5397222,2,,1042500,45.3397222,-69.9619444
1054500,-1.734635487,44.5519444,-70.5441667,4,,1043500,45.22905,-70.20112778
1055000,0.951331828,44.64277778,-70.58888889,1,,1044550,45.3136111,-70.2416667
1063310,-115.0574113,43.85555556,-70.6397222,4,,1046000,45.0644444,-69.8805556
1054300,0.714751192,44.5933333,-70.7330556,2,,1046500,45.0519444,-69.8855556
1105870,-0.419685556,41.9909362,-70.7336491,4,,1047000,44.86916667,-69.955
1066000,0.400934207,43.80805556,-70.7816667,4,,1047150,44.77888889,-69.8869444
1105730,-0.0658876,42.1006571,-70.8225415,4,,1047200,44.85777778,-70.48527778
1073785,0.488650284,43.0358333,-70.8475,4,,1048000,44.70805556,-69.9375
1102000,0.544597696,42.6598157,-70.8936622,3,,1048220,44.9475,-69.6569444
1105608,-59.96392082,42.21305556,-70.92638889,4,,1049500,44.22916667,-69.7780556
1105600,-0.168066728,42.1903779,-70.9447679,4,,1052500,44.8775,-71.0575
1101000,-0.178282512,42.75286948,-70.9456096,4,,1053500,44.7825,-71.1286111
1073500,0.175281727,43.10258558,-70.952559,4,,1053600,44.6661111,-71.18138889
1108000,-0.615530395,41.9339903,-70.9564307,4,,1054000,44.4358333,-71.19027778
1072870,0.809227614,43.23480487,-70.9564507,1,,1054114,44.38131944,-71.1706556
1073000,-0.055989152,43.1486955,-70.9650603,4,,1054200,44.39055556,-70.9797222
1072800,0.262090292,43.26841527,-70.9736739,4,,1054300,44.5933333,-70.7330556
1054200,0.820634579,44.39055556,-70.9797222,1,,1054500,44.5519444,-70.5441667
1105933,0.548211712,41.58538185,-70.9903171,3,,1055000,44.64277778,-70.58888889
1102345,-2.951198024,42.4695404,-71.0069954,4,,1055500,44.26944444,-70.2297222
1101500,-0.147863414,42.56953869,-71.0269974,4,,1057000,44.30388889,-70.5397222
1073587,-0.194774958,42.9845316,-71.038392,4,,1059000,44.0722222,-70.2080556
1052500,0.644187958,44.8775,-71.0575,3,,1063310,43.85555556,-70.6397222
11055566,-2.363711538,42.2709321,-71.06838369,4,,1064118,43.68694444,-70.3472222
1064500,0.718531153,43.9908333,-71.0905556,2,,10642505,44.08388889,-71.2855556
1109060,-0.044161074,41.8662122,-71.12282369,4,,1064500,43.9908333,-71.0905556
1053500,-13.1222502,44.7825,-71.1286111,4,,1064801,43.83007396,-71.2878488
1109070,0.480351451,41.840379,-71.142824,4,,1066000,43.80805556,-70.7816667
1105500,0.117279357,42.15454356,-71.1458842,4,,1067950,43.4322222,-70.5533333
1105554,-0.155423123,42.2092655,-71.1458851,4,,1068910,43.4183333,-70.7380556
1104000,-6.359120093,42.2550985,-71.1642196,4,,1069500,43.4183333,-70.6583333
10735562,-43.87443348,42.94897557,-71.16478279,4,,1069700,43.37916667,-70.5833333
1109000,0.248502701,41.94760015,-71.1767155,4,,1072800,43.26841527,-70.9736739
1054000,-12.03000025,44.4358333,-71.19027778,4,,1072870,43.23480487,-70.9564507
1105000,-0.567384202,42.1775987,-71.2008863,4,,1073000,43.1486955,-70.9650603
1100600,-0.196957476,42.5681488,-71.2147792,4,,1073319,43.04138889,-71.2016667
1100505,-0.074119582,42.8492547,-71.2150607,4,,1073500,43.10258558,-70.952559
1104200,-4.963155871,42.3164861,-71.227833,4,,10735562,42.94897557,-71.16478279
1104500,-5.360032603,42.37231857,-71.2336668,4,,1073587,42.9845316,-71.038392
1103500,-0.265446554,42.256209,-71.2600558,4,,1073785,43.0358333,-70.8475
1104480,-1.108287729,42.3556519,-71.2650565,4,,1074520,44.0475669,-71.6598029
1104475,-5.312802456,42.3545408,-71.2681121,4,,1075000,43.9761792,-71.6795244
1104455,-3455.62179,42.37259606,-71.27033448,4,,1076000,43.79562647,-71.8453594
1100568,-6.176100122,42.46703909,-71.2722795,4,,1076500,43.7592388,-71.6856337
1104430,-0.953009435,42.3981512,-71.2733903,4,,1077400,43.70388889,-71.8333333
10642505,-25.92020256,44.08388889,-71.2855556,4,,1078000,43.56646307,-71.747857
1064801,0.892831074,43.83007396,-71.2878488,1,,1081000,43.44174376,-71.5875752
1100000,-0.002897471,42.64592464,-71.2983937,4,,1081500,43.42285456,-71.6528543
1099500,0.149517388,42.6367581,-71.3020047,4,,1082000,42.8625837,-71.95924609
1109403,-0.341254424,41.83093377,-71.3503315,4,,1085000,43.1520237,-71.85730149
10965852,-24.45976927,42.78286636,-71.35367448,4,,1085500,43.1928569,-71.7472995
1113895,0.487875494,41.8884331,-71.38144467,4,,1086000,43.25091159,-71.7322996
1103280,0.033158102,42.1398197,-71.3895032,4,,1089100,43.21369248,-71.4803481
1098530,0.096196842,42.3253732,-71.3975605,4,,1089500,43.25674759,-71.36951248
1097300,-0.485880755,42.51259289,-71.40422829,4,,1089925,43.15980438,-71.4059011
1114000,-0.183872383,41.833989,-71.41061208,4,,1091000,43.01480519,-71.64146129
1129200,-0.886600354,45.04032368,-71.4439704,4,,1091500,43.01675,-71.5506252
1117000,0.424404323,41.6412122,-71.4445016,4,,1092000,42.9481405,-71.4634002
1116500,-0.263618836,41.75093399,-71.4450575,4,,1093852,42.8425858,-71.7067399
1097000,0.282809796,42.432038,-71.4497848,4,,1094000,42.8575865,-71.5061785
1092000,-0.602382978,42.9481405,-71.4634002,4,,1094400,42.57620079,-71.7881285
1089100,0.572232149,43.21369248,-71.4803481,3,,1094500,42.49506389,-71.7219333
1114500,-1.427070123,41.8589884,-71.4872823,4,,1095220,42.41092507,-71.7911829
1112500,0.54379361,42.0064871,-71.5025613,3,,1095375,42.37286967,-71.8281279
1094000,0.348992564,42.8575865,-71.5061785,4,,1095434,42.36453675,-71.775349
1117350,-1.902239924,41.4823233,-71.5511719,4,,1096000,42.63425619,-71.6578479
1111500,0.676456542,41.99648716,-71.56200758,2,,1096500,42.66758945,-71.57506809
1116000,-0.448310152,41.69010026,-71.5658958,4,,10965852,42.78286636,-71.35367448
1117370,-0.704857745,41.53898957,-71.568673,4,,1097000,42.432038,-71.4497848
1096500,-2.787088716,42.66758945,-71.57506809,4,,1097300,42.51259289,-71.40422829
1081000,-7.309679791,43.44174376,-71.5875752,4,,1098500,42.31514167,-71.3838083
