#
#
# US Geological Survey
# retrieved: 2021-04-13 12:06:25 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  site_no         -- Site identification number
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  basin_cd        -- Drainage basin code
#  topo_cd         -- Topographic setting code
#  drain_area_va   -- Drainage area
#  contrib_drain_area_va -- Contributing drainage area
#  reliability_cd  -- Data reliability code
#  nat_aqfr_cd     -- National aquifer code
#  aqfr_cd         -- Local aquifer code
#  aqfr_type_cd    -- Local aquifer type code
#
#
# query started 2021-04-13 12:06:25 EDT
#
# there are 7488 sites matching the search criteria.
#
#
site_no	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	topo_cd	drain_area_va	contrib_drain_area_va	reliability_cd	nat_aqfr_cd	aqfr_cd	aqfr_type_cd
01010000	46.70055556	-69.71555560	S	NAD83	 931.26		NGVD29	01010001			1341	1341				
01010070	46.89388889	-69.75166670	S	NAD83	 885.00		NGVD29	01010001			171	171				
01010500	47.11305556	-69.08805560	S	NAD83	 590.38		NGVD29	01010001			2680	2680				
01011000	47.06972220	-69.07944440	S	NAD83	 604.60		NGVD29	01010002			1478	1229				
01011500	47.20697926	-68.95642810	S	NAD83	 550		NGVD29				524	524				
01013500	47.23750000	-68.58277778	S	NAD83	 511.38		NGVD29	01010003			873	873				
01014000	47.28333330	-68.58527778	S	NAD83	 505		NAVD88	01010001			5929	5680				
01015800	46.52305556	-68.37166670	S	NAD83	 530.00		NGVD29	01010004			892	892				
01017000	46.77722220	-68.15722220	S	NAD83	 436.40		NGVD29	01010004			1654	1654				
01017060	46.78361110	-67.98916670	5	NAD83	 486.7		NAVD88	01010004			5.70	5.70				
01017290	46.88861110	-67.94500000	5	NAD83	 420		NAVD88	01010004			234	234				
01017550	46.62805556	-67.95305560	S	NAD83	 580		NGVD29	01010005			3.82	3.82				
01017960	46.10500000	-67.88138889	S	NAD83	 355		NGVD29	01010005		C	88.0	88.0				
01018000	46.10500000	-67.86666670	S	NAD83	 333.92		NGVD29	01010005			175	175				
