site,lat,long,Altitude
1010000,46.70055556,-69.7155556,931.26
1010070,46.89388889,-69.7516667,885
1010500,47.11305556,-69.0880556,590.38
1011000,47.0697222,-69.0794444,604.6
1011500,47.20697926,-68.9564281,550
1013500,47.2375,-68.58277778,511.38
1014000,47.2833333,-68.58527778,505
1015800,46.52305556,-68.3716667,530
1017000,46.7772222,-68.1572222,436.4
1017060,46.7836111,-67.9891667,486.7
1017290,46.8886111,-67.945,420
1017550,46.62805556,-67.9530556,580
1017960,46.105,-67.88138889,355
1018000,46.105,-67.8666667,333.92
1018009,46.11527778,-67.84027778,355
1018035,46.1811111,-67.80388889,290
1018500,45.5683333,-67.4283333,367.2
1019000,45.1725,-67.76888889,273.56
1021000,45.1369444,-67.3180556,65.72
1021470,44.8008333,-67.725,133.16
1021480,44.9369444,-67.7361111,170
1022294,44.85909167,-68.10396389,906.55
1022500,44.60805556,-67.93527778,44.2
1022840,44.33277778,-68.2066667,90
1027200,45.93527778,-69.9936111,1086.2
1029200,46.14305556,-68.6336111,512
1029500,45.73027778,-68.5894444,294.74
1030350,45.7086111,-68.1580556,395
1030500,45.5011111,-68.3058333,217
1031300,45.2672222,-69.58388889,564.09
1031450,45.1844444,-69.4522222,423
1031500,45.175,-69.3147222,358.47
1031510,45.15027778,-69.23638889,405
1034000,45.26055556,-68.8686111,248.68
1034500,45.2361111,-68.65138889,125.94
1037000,44.8611111,-68.8316667,69.14
1037380,44.32916667,-69.0608333,135
1038000,44.22277778,-69.59388889,101.05
1042500,45.3397222,-69.9619444,569.03
1043500,45.22905,-70.20112778,1037.32
1044550,45.3136111,-70.2416667,1020
1046000,45.0644444,-69.8805556,350.14
1046500,45.0519444,-69.8855556,330.2
1047000,44.86916667,-69.955,303.3
1047150,44.77888889,-69.8869444,180
1047200,44.85777778,-70.48527778,930
1048000,44.70805556,-69.9375,197.1
1048220,44.9475,-69.6569444,500
1049500,44.22916667,-69.7780556,20
1052500,44.8775,-71.0575,1259.48
1053500,44.7825,-71.1286111,1227.3
1053600,44.6661111,-71.18138889,1180
1054000,44.4358333,-71.19027778,832.88
1054114,44.38131944,-71.1706556,794
1054200,44.39055556,-70.9797222,683.1
1054300,44.5933333,-70.7330556,620
1054500,44.5519444,-70.5441667,420
1055000,44.64277778,-70.58888889,615.67
1055500,44.26944444,-70.2297222,276.29
1057000,44.30388889,-70.5397222,447
1059000,44.0722222,-70.2080556,109.18
1063310,43.85555556,-70.6397222,275.35
1064118,43.68694444,-70.3472222,13.42
10642505,44.08388889,-71.2855556,665
1064500,43.9908333,-71.0905556,418.19
1064801,43.83007396,-71.2878488,492.91
1066000,43.80805556,-70.7816667,263.48
1067950,43.4322222,-70.5533333,70
1068910,43.4183333,-70.7380556,229.3
1069500,43.4183333,-70.6583333,165.75
1069700,43.37916667,-70.5833333,42.55
1072800,43.26841527,-70.9736739,118.77
1072870,43.23480487,-70.9564507,115
1073000,43.1486955,-70.9650603,64.58
1073319,43.04138889,-71.2016667,182.49
1073500,43.10258558,-70.952559,37.55
10735562,42.94897557,-71.16478279,185
1073587,42.9845316,-71.038392,59.52
1073785,43.0358333,-70.8475,5.28
1074520,44.0475669,-71.6598029,820.72
1075000,43.9761792,-71.6795244,616.1
1076000,43.79562647,-71.8453594,496.94
1076500,43.7592388,-71.6856337,456.66
